Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
16.1,1400,0.000469339,-0.01934387,16.895702362060547,4.396876335144043,7136.687552387686,74.28831481933594,-14.45668316,-19.46023852,-3.24652E-05,6.3178E-06
16.2,1400,0.001001819,-0.012349339,16.89880371,4.168997764587402,7614.278275710154,70.45107269,-9.846935272,-13.97698373,-0.000101739,1.42201E-05
16.3,1400,-0.002629405,-0.006966149,16.901582717895508,3.971149206161499,7893.500780301344,67.11870574951172,-5.758256912,-8.579213172,0.000456632,-3.91754E-05
16.4,1400,0.002097282,-0.00386842,16.903141021728516,3.8649120330810547,8050.078003929197,65.32915496826172,-3.261086464,-4.991778359,-0.000643124,3.21033E-05
16.5,1400,0.005083052,-0.002428233,16.90399932861328,3.804032564163208,8134.626930356466,64.30336761,-2.068505049,-3.216791525,-0.002457355,7.9048E-05
16.6,1400,-9.52749E-05,-0.001274498,16.90453338623047,3.7641103267669678,8180.873758736029,63.63052749633789,-1.09186101,-1.715938933,8.72592E-05,-1.49731E-06
16.7,1400,-0.001744107,-0.000752383,16.904766082763672,3.7509822845458984,8206.891861737575,63.40947723388672,-0.646615922,-1.019746438,0.002697285,-2.75055E-05
16.8,1400,0.00353996,-0.000402287,16.904977798461914,3.735574245452881,8218.815077084857,63.14979934692383,-0.346237242,-0.548279239,-0.010224087,5.60565E-05
16.9,1400,0.003029902,-0.000464425,16.904977798461914,3.7361576557159424,8223.132193772411,63.15966033935547,-0.399927497,-0.633200817,-0.007576129,4.79721E-05
17,1400,-0.001164599,-0.000344817,16.90497589111328,3.7254695892333984,8229.965442867173,62.978973388671875,-0.297176987,-0.471867016,0.003918873,-1.84919E-05
17.1,1400,0.001019117,-0.00012738,16.905141830444336,3.7184386253356934,8231.325215140976,62.86073303222656,-0.109799072,-0.174670375,-0.009281652,1.62123E-05
17.2,1400,0.006382414,-0.000318753,16.90506362915039,3.7200145721435547,8231.932537348135,62.887081146240234,-0.274779558,-0.436941208,-0.023227397,0.00010149
17.3,1400,0.003271984,-0.000337623,16.905048370361328,3.7283430099487305,8234.325689922605,63.02782059,-0.291130841,-0.461908476,-0.01123888,5.19133E-05
