Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
339.996395,-2.7103970050811768,0,0,0,0.07575565576553345
340.996395,-2.304471492767334,0,0,0,0.08834521472454071
341.996395,-2.376073122024536,0,0,0,0.08634136617183685
342.996395,-2.412883996963501,0,0,0,0.08518452197313309
343.996395,-2.429208755493164,0,0,0,0.08447682112455368
344.996395,-2.743170976638794,0,0,0,0.0749380886554718
345.996395,-2.381006956100464,0,0,0,0.08604183793067932
346.996395,-2.5171611309051514,0,0,0,0.0811954066157341
347.996395,-2.4655404090881348,0,0,0,0.08276636153459549
348.996395,-2.453767776489258,0,0,0,0.08363988250494003
349.996395,-2.2166664600372314,0,0,0,0.09227729588747025
350.996395,-2.5305464267730713,0,0,0,0.08080753684043884
351.996395,-2.5183534622192383,0,0,0,0.08109486848115921
352.996395,-2.511870861053467,0,0,0,0.08128777146339417
353.996395,-2.2660536766052246,0,0,0,0.0902906134724617
354.996395,-2.064779758453369,0,0,0,0.09831760823726654
355.996395,-2.7479469776153564,0,0,0,0.07418837398290634
356.996395,-2.715885639190674,0,0,0,0.07517301291227341
357.996395,-2.2937865257263184,0,0,0,0.08924567699432373
358.996395,-2.3860363960266113,0,0,0,0.08566997200250626
359.996395,-2.5414164066314697,0,0,0,0.08015938848257065
360.996395,-2.406881809234619,0,0,0,0.08539070188999176
361.996395,-2.3595364093780518,0,0,0,0.08697786182165146
362.996395,-2.7368979454040527,0,0,0,0.07504148781299591
363.996395,-2.7845749855041504,0,0,0,0.07353436201810837
364.996395,-2.741234064102173,0,0,0,0.07495786249637604
365.996395,-2.7918553352355957,0,0,0,0.07352657616138458
366.996395,-2.8967320919036865,0,0,0,0.06979718059301376
367.996395,-2.3708181381225586,0,0,0,0.08612339943647385
368.996395,-2.698084592819214,0,0,0,0.07334592938423157
369.996395,-2.578017234802246,0,0,0,0.07897906750440598
370.996395,-2.795370578765869,0,0,0,0.0723278596997261
371.996395,-2.73569655418396,0,0,0,0.07546361535787582
372.996395,-2.8510539531707764,0,0,0,0.07258502393960953
373.996395,-2.434846878051758,0,0,0,0.0824071615934372
374.996395,-2.4791994094848633,0,0,0,0.08120836317539215
375.996395,-2.1977078914642334,0,0,0,0.09206192940473557
376.996395,-2.239745616912842,0,0,0,0.09042041003704071
377.996395,-2.66507887840271,0,0,0,0.07624804228544235
378.996395,-2.695511817932129,0,0,0,0.07498658448457718
379.996395,-2.419461965560913,0,0,0,0.08434589207172394
380.996395,-2.3545641899108887,0,0,0,0.08635661005973816
381.996395,-2.6231629848480225,0,0,0,0.07767418771982193
382.996395,-2.311734437942505,0,0,0,0.08764596283435822
383.996395,-2.556623697280884,0,0,0,0.08000362664461136
384.996395,-2.4156665802001953,0,0,0,0.08418365567922592
385.996395,-2.742170572280884,0,0,0,0.07425401359796524
386.996395,-2.4127004146575928,0,0,0,0.08468757569789886
387.996395,-2.658160924911499,0,0,0,0.0765756219625473
388.996395,-2.5515975952148438,0,0,0,0.08002062141895294
389.996395,-2.416898727416992,0,0,0,0.08402739465236664
390.996395,-2.5397093296051025,0,0,0,0.07979033887386322
391.996395,-2.7448930740356445,0,0,0,0.07405898720026016
392.996395,-2.5870792865753174,0,0,0,0.07876017689704895
393.996395,-2.171316385269165,0,0,0,0.09353439509868622
394.996395,-2.3949692249298096,0,0,0,0.08467022329568863
395.996395,-2.3905975818634033,0,0,0,0.08563054352998734
396.996395,-2.7330830097198486,0,0,0,0.07384519279003143
397.996395,-2.5560803413391113,0,0,0,0.07922139763832092
398.996395,-2.598790407180786,0,0,0,0.0782957673072815
